名字,国家,外交年份,回国年份,离世年份,动物园所在,备注,原名
姬姬,奥地利,1958,,1972,伦敦,,
阳阳,奥地利,2003,,2019,维也纳,,
龙徽,奥地利,2003,,2016,维也纳,,
园园,奥地利,2019,2023,,维也纳,,
福妮,澳大利亚,2009,,,阿德莱德,,
网网,澳大利亚,2009,,,阿德莱德,,
好好,比利时,2014,,,布吕热莱特市,,
星徽,比利时,2014,,,布吕热莱特市,,
天宝,比利时,2016,,,布吕热莱特市,生于比利时,
宝妹,比利时,2019,,,布吕热莱特市,生于比利时,
宝弟,比利时,2019,,,布吕热莱特市,生于比利时,
一号,朝鲜,1959,,,平壤,,
二号,朝鲜,1959,,,平壤,,
凌凌,朝鲜,1959,,,平壤,,
三星,朝鲜,1959,,,平壤,,
丹丹,朝鲜,1959,,,平壤,,
毛笋,丹麦,2019,2029,,哥本哈根,,
星二,丹麦,2019,2029,,哥本哈根,,
嫣嫣,德国,1995,,2007,东京,,
娇庆,德国,2017,,,柏林,,
梦梦,德国,2017,,,柏林,,
梦想,德国,2019,,,柏林,生于德国,
梦圆,德国,2019,,,柏林,生于德国,
奔奔,俄罗斯,2001,2001,,莫斯科,,
文文,俄罗斯,2001,2001,,莫斯科,,
丁丁,俄罗斯,2019,,,莫斯科,,
如意,俄罗斯,2019,,,莫斯科,,
燕燕,法国,1973,,,巴黎,,
黎黎,法国,1973,,,巴黎,,
园子,法国,2012,,,圣艾尼昂,租期推迟,圆仔（别名）
欢欢,法国,2012,,,圣艾尼昂,租期推出,
圆梦,法国,2017,2023,,圣艾尼昂,生于法国,
圆嘟嘟,法国,2021,,,圣艾尼昂,生于法国,
欢黎黎,法国,2021,,,圣艾尼昂,生于法国,
华豹,芬兰,2018,,,艾赫泰里,,
金宝宝,芬兰,2018,,,艾赫泰里,,
华妮,韩国,2016,,,龙仁市,,爱宝（韩国）
园欣,韩国,2016,,,龙仁市,,乐宝（韩国）
福宝,韩国,2020,,,龙仁市,生于韩国,
辉宝,韩国,2023,,,龙仁市,生于韩国,
睿宝,韩国,2023,,,龙仁市,生于韩国,
星雅,荷兰,2017,,,雷纳,,
武雯,荷兰,2017,,,雷纳,,
梵星,荷兰,2022,2023,,雷纳,生于荷兰,
大毛,加拿大,2013,2020,,卡尔加里,,
二顺,加拿大,2013,2020,,卡尔加里,,
加盼盼,加拿大,2015,2020,,多伦多,生于加拿大,
加悦悦,加拿大,2015,2020,,多伦多,生于加拿大,
四海,卡塔尔,2022,,,多哈,,
京京,卡塔尔,2022,,,多哈,,
靓靓,马来西亚,2014,,,吉隆坡,,凤仪（别名）
兴兴,马来西亚,2014,,,吉隆坡,,福娃（别名）
暖暖,马来西亚,2015,2017,,吉隆坡,生于马来西亚,
谊谊,马来西亚,2018,2023,,吉隆坡,生于马来西亚,
升谊,马来西亚,2021,2023,,吉隆坡,生于马来西亚,
潘达,美国,1941,,1951,纽约,,
潘弟,美国,1941,,1945,纽约,,
玲玲,美国,1972,,1992,华盛顿,,
兴兴,美国,1972,,1999,华盛顿,,
